,v3s,,,v3s2,,,v3s3,,,v3s5,,,v3s7,,,v3s9,,
pdtvsarmultip01,UNSAT,3,0.00337,UNSAT,3,0.011959,UNSAT,3,0.014628,UNSAT,3,0.017779,UNSAT,3,0.046191,UNSAT,3,0.061527
pdtvsarmultip02,UNSAT,5,0.002597,UNSAT,4,0.008191,UNSAT,4,0.018643,UNSAT,3,0.024017,UNSAT,3,0.033419,UNSAT,3,0.054897
pdtvsarmultip03,UNSAT,5,0.07671,UNSAT,5,0.13744,UNSAT,5,0.2788,UNSAT,5,0.53524,UNSAT,5,1.069,UNSAT,5,1.317
pdtvsarmultip04,UNSAT,6,0.02223,UNSAT,7,0.071627,UNSAT,6,0.089315,UNSAT,6,0.20533,UNSAT,6,0.30357,UNSAT,6,0.44361
pdtvsarmultip05,UNSAT,9,0.33015,UNSAT,8,0.42119,UNSAT,7,0.76782,UNSAT,7,1.8223,UNSAT,7,2.348,UNSAT,7,5.6903
pdtvsarmultip06,UNSAT,6,0.11274,UNSAT,6,0.13144,UNSAT,7,0.29607,UNSAT,8,0.91431,UNSAT,5,1.0132,UNSAT,5,1.7247
pdtvsarmultip07,UNSAT,9,0.55865,UNSAT,9,0.76036,UNSAT,9,1.3682,UNSAT,9,3.2592,UNSAT,8,4.9257,UNSAT,8,10.514
pdtvsarmultip08,UNSAT,6,0.067399,UNSAT,7,0.12041,UNSAT,7,0.24217,UNSAT,7,0.60961,UNSAT,5,0.48362,UNSAT,5,0.89759
pdtvsarmultip09,UNSAT,6,0.039814,UNSAT,6,0.083607,UNSAT,6,0.15589,UNSAT,6,0.35975,UNSAT,5,0.53736,UNSAT,5,0.97341
pdtvsarmultip10,UNSAT,9,0.33981,UNSAT,8,0.42334,UNSAT,7,0.77662,UNSAT,8,1.9572,UNSAT,6,2.2098,UNSAT,7,5.7831
pdtvsarmultip11,UNSAT,4,0.005355,UNSAT,4,0.010487,error:-6,,,error:-6,,,error:-6,,,error:-6,,
pdtvsarmultip12,UNSAT,8,0.029161,UNSAT,7,0.070214,UNSAT,7,0.10498,UNSAT,6,0.15144,UNSAT,4,0.29478,UNSAT,3,0.43743
pdtvsarmultip13,UNSAT,4,0.009828,UNSAT,5,0.055493,error:-6,,,error:-6,,,error:-6,,,error:-6,,
pdtvsarmultip14,UNSAT,4,0.013594,UNSAT,4,0.025495,UNSAT,4,0.046173,UNSAT,5,0.21195,UNSAT,5,0.32989,UNSAT,5,0.64686
pdtvsarmultip15,UNSAT,4,0.029172,UNSAT,4,0.045105,UNSAT,4,0.08932,UNSAT,6,0.32606,UNSAT,6,0.57495,UNSAT,6,0.80913
pdtvsarmultip16,UNSAT,3,0.000309,UNSAT,3,0.002849,UNSAT,3,0.005245,UNSAT,3,0.015631,UNSAT,3,0.021962,UNSAT,3,0.055046
pdtvsarmultip17,UNSAT,4,0.0035,UNSAT,4,0.006085,error:-6,,,error:-6,,,error:-6,,,error:-6,,
pdtvsarmultip18,UNSAT,3,0.000712,UNSAT,3,0.002945,UNSAT,3,0.010498,UNSAT,3,0.017102,UNSAT,3,0.045761,UNSAT,3,0.029855
pdtvsarmultip19,UNSAT,4,0.012225,UNSAT,4,0.014077,error:-6,,,error:-6,,,error:-6,,,error:-6,,
pdtvsarmultip20,UNSAT,4,0.007079,UNSAT,3,0.007952,error:-6,,,error:-6,,,error:-6,,,error:-6,,
pdtvsarmultip21,UNSAT,4,0.004362,UNSAT,4,0.007266,error:-6,,,error:-6,,,error:-6,,,error:-6,,
pdtvsarmultip22,UNSAT,4,0.004746,UNSAT,4,0.010049,error:-6,,,error:-6,,,error:-6,,,error:-6,,
pdtvsarmultip23,UNSAT,4,0.006341,UNSAT,4,0.008099,error:-6,,,error:-6,,,error:-6,,,error:-6,,
pdtvsarmultip24,UNSAT,4,0.002833,UNSAT,4,0.00549,error:-6,,,error:-6,,,error:-6,,,error:-6,,
pdtvsarmultip25,UNSAT,4,0.002695,UNSAT,4,0.007064,error:-6,,,error:-6,,,error:-6,,,error:-6,,
pdtvsarmultip26,UNSAT,4,0.004563,UNSAT,4,0.007403,error:-6,,,error:-6,,,error:-6,,,error:-6,,
pdtvsarmultip27,UNSAT,11,0.10775,UNSAT,7,0.1105,UNSAT,6,0.17574,error:-6,,,error:-6,,,error:-6,,
pdtvsarmultip28,UNSAT,3,0.000867,UNSAT,3,0.005121,UNSAT,3,0.005527,UNSAT,3,0.016799,UNSAT,3,0.029729,UNSAT,3,0.058286
pdtvsarmultip29,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,
pdtvsarmultip30,UNSAT,3,0.000666,UNSAT,3,0.010724,UNSAT,3,0.00509,UNSAT,3,0.037277,UNSAT,3,0.044635,UNSAT,3,0.056124
pdtvsarmultip31,UNSAT,4,0.012994,UNSAT,4,0.030949,error:-6,,,error:-6,,,error:-6,,,error:-6,,
pdtvsarmultip32,UNSAT,22,60.114,UNSAT,20,66.224,UNSAT,19,78.978,UNSAT,11,387.26,UNSAT,12,58.794,UNSAT,15,202.87
pj2005,UNSAT,9,1.9746,UNSAT,8,2.4972,UNSAT,8,5.9441,UNSAT,8,16.213,UNSAT,7,44.897,UNSAT,8,47.472
pj2006,UNSAT,15,21.583,UNSAT,11,21.29,UNSAT,13,76.411,UNSAT,11,201.27,UNSAT,8,348.21,UNSAT,7,448.99
pj2008,UNSAT,7,1.4971,UNSAT,6,1.5126,UNSAT,5,5.219,UNSAT,6,11.76,UNSAT,5,14.532,UNSAT,5,21.032
pj2009,UNSAT,6,0.31118,UNSAT,8,0.88788,UNSAT,8,2.7763,UNSAT,7,7.1744,UNSAT,4,4.8926,UNSAT,4,3.7114
pj2013,UNSAT,4,0.17178,UNSAT,4,0.2458,UNSAT,4,0.47631,UNSAT,3,0.61925,UNSAT,3,1.8112,UNSAT,3,2.1683
pj2016,UNSAT,8,4.4201,UNSAT,8,158.29,UNSAT,8,680.23,UNSAT,7,179.81,UNSAT,6,89.15,UNSAT,5,51.766
pj2017,UNSAT,22,311.44,UNSAT,29,307.93,UNSAT,43,892.9,timeout,,,timeout,,,timeout,,
pj2018,UNSAT,20,125.5,UNSAT,15,35.835,UNSAT,27,128.3,UNSAT,26,182.61,UNSAT,21,296.41,UNSAT,21,574.52
pj2019,UNSAT,5,2.353,UNSAT,4,2.1454,UNSAT,3,4.7064,UNSAT,3,11.675,UNSAT,3,24.061,UNSAT,3,44.193
prodcellp0neg,SAT,73,39.215,SAT,66,59.129,SAT,77,104.22,SAT,65,83.393,SAT,72,95.455,SAT,74,168.49
prodcellp1,SAT,56,40.761,SAT,62,59.118,SAT,90,137.8,SAT,86,130.56,SAT,78,162.77,SAT,96,237.98
prodcellp1neg,SAT,58,40.507,SAT,77,58.745,SAT,89,123.01,SAT,66,130,SAT,83,177.96,SAT,75,197.74
prodcellp2,SAT,62,49.628,SAT,73,61.733,SAT,91,127.07,SAT,66,108.77,SAT,76,258.27,SAT,89,204.22
prodcellp2neg,SAT,62,50.254,SAT,77,56.441,SAT,80,133.77,SAT,84,161.32,SAT,70,125.19,SAT,63,163.49
prodcellp3,SAT,69,58.31,SAT,64,53.322,SAT,77,80.833,SAT,74,107.14,SAT,70,118.98,SAT,67,134.04
prodcellp4,SAT,80,53.627,SAT,81,70.483,SAT,55,55.856,SAT,75,108.64,SAT,61,169.88,SAT,50,91.339
prodcellp4neg,SAT,64,46.354,SAT,80,76.866,SAT,79,86.206,SAT,74,103.21,SAT,57,144.23,SAT,53,110.8
prodconsp0,SAT,18,2.0845,SAT,17,2.6185,SAT,16,2.302,SAT,16,10.307,SAT,12,8.3248,SAT,11,6.7186
prodconsp0neg,SAT,20,3.5921,SAT,15,1.0879,SAT,14,2.4462,SAT,18,9.8034,SAT,12,10.334,SAT,12,15.012
prodconsp1,SAT,15,0.98771,SAT,16,2.5676,SAT,16,2.045,SAT,13,3.4386,SAT,12,9.6338,SAT,10,5.6876
prodconsp1negnv,SAT,18,1.7306,SAT,20,2.4076,SAT,13,3.6539,SAT,16,5.0567,SAT,13,4.9882,SAT,10,4.4775
prodconsp5,SAT,15,1.019,SAT,18,2.2909,SAT,15,3.1051,SAT,12,1.7469,SAT,10,5.3066,SAT,10,13.573
prodconsp5neg,SAT,16,1.0375,SAT,17,4.9086,SAT,16,2.7202,SAT,13,5.6945,SAT,10,7.5822,SAT,9,6.3632
prodconspold1,SAT,16,1.5516,SAT,17,2.0012,SAT,17,3.545,SAT,16,5.0164,SAT,10,5.7783,SAT,12,11.575
prodconspold3,SAT,16,1.2118,SAT,17,1.6934,SAT,17,2.0657,SAT,16,5.6383,SAT,13,6.5181,SAT,9,6.0547
prodconspold4,SAT,16,1.2497,SAT,18,3.6809,SAT,16,2.2356,SAT,14,6.5408,SAT,12,4.1101,SAT,11,7.4465
texaspimainp15,UNSAT,5,0.040867,UNSAT,5,0.067563,UNSAT,4,0.082652,UNSAT,4,0.13219,UNSAT,4,0.20232,UNSAT,4,0.25946
vis4arbitp1,UNSAT,10,0.061767,UNSAT,10,0.064263,UNSAT,7,0.099219,UNSAT,10,0.34326,UNSAT,9,0.47654,UNSAT,8,0.56647
visbakery,SAT,27,2.8938,SAT,24,2.8326,SAT,22,2.5664,SAT,23,9.2558,SAT,20,11.578,SAT,16,16.574
viselevatorp3,UNSAT,5,0.018901,UNSAT,5,0.025691,UNSAT,5,0.051489,UNSAT,4,0.12267,UNSAT,4,0.13399,UNSAT,4,0.25101
visprodcellp22,UNSAT,17,3.578,UNSAT,15,1.2567,UNSAT,15,1.4152,UNSAT,17,2.3753,UNSAT,28,37.346,UNSAT,18,24.002
