,v3s,,,v3s2,,,v3s3,,,v3s5,,,v3s7,,,v3s9,,
bob1u05cu,UNSAT,18,55.683,UNSAT,19,88.093,error:-6,,,error:-6,,,error:-6,,,error:-6,,
bob3,UNSAT,26,9.6889,UNSAT,25,5.3439,UNSAT,23,8.5283,UNSAT,22,8.0896,UNSAT,19,10.433,UNSAT,17,8.1055
bob9234redmiter,SAT,296,448.72,timeout,,,error:-6,,,error:-6,,,error:-6,,,error:-6,,
bob9234spec4neg,SAT,553,13.67,SAT,553,22.076,SAT,553,29.641,SAT,553,51.629,SAT,553,92.385,SAT,553,144.6
bob9234spec5neg,SAT,284,38.861,SAT,301,190.99,SAT,289,56.767,SAT,276,54.983,SAT,293,218.04,SAT,291,320.65
bob9234spec6neg,SAT,273,75.732,SAT,289,61.817,SAT,274,70.593,SAT,287,238.52,SAT,276,250.55,SAT,287,374.98
bob9234spec7neg,SAT,287,4.8383,SAT,287,7.7098,SAT,287,10.366,SAT,287,18.591,SAT,287,34.017,SAT,287,51.02
bobaesdinvdmit,UNSAT,20,287.05,UNSAT,19,306.76,UNSAT,18,375.82,error:-6,,,timeout,,,timeout,,
bobcohdoptdcd4,UNSAT,17,78.643,UNSAT,19,118.01,UNSAT,15,165.14,UNSAT,11,62.632,UNSAT,15,185.31,UNSAT,13,497.47
boblivea,UNSAT,18,5.8301,UNSAT,20,5.2766,UNSAT,17,9.1995,UNSAT,15,6.1507,UNSAT,12,25.199,UNSAT,17,25.025
boblivear,UNSAT,20,22.541,UNSAT,19,46.068,UNSAT,16,27.023,UNSAT,14,30.871,UNSAT,13,8.2898,UNSAT,12,6.0509
bobmiterbm1or,SAT,1,0.002204,SAT,1,0.00888,SAT,1,0.003858,SAT,1,0.018964,SAT,1,0.027975,SAT,1,0.01544
bobmitersynbm,timeout,,,timeout,,,error:-6,,,error:-6,,,error:-6,,,error:-6,,
bobpci215,SAT,8,1.8288,SAT,8,2.0104,SAT,8,2.6847,SAT,7,3.9069,SAT,5,4.1493,error:-6,,
bobpcihm,timeout,,,timeout,,,error:-6,,,error:-6,,,error:-6,,,error:-6,,
bobsm38584,timeout,,,timeout,,,error:-6,,,error:-6,,,error:-6,,,error:-6,,
bobsm5378d2,UNSAT,27,7.3453,UNSAT,26,7.6124,error:-6,,,error:-6,,,error:-6,,,error:-6,,
bobsm9234,timeout,,,timeout,,,error:-6,,,error:-6,,,error:-6,,,error:-6,,
bobsmcodic,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,
bobsmdct,UNSAT,15,2.756,UNSAT,13,4.452,error:-6,,,error:-6,,,error:-6,,,error:-6,,
bobsmfpu,timeout,,,timeout,,,error:-6,,,timeout,,,timeout,,,timeout,,
bobsmhdlc1,timeout,,,timeout,,,error:-6,,,error:-6,,,error:-6,,,error:-6,,
bobsmhdlc2,timeout,,,timeout,,,error:-6,,,error:-6,,,error:-6,,,error:-6,,
