,V3s,,,V3sTem3,,,,v3s,,,V3sTem3,,,v3sTem5,,,v3sTem7,,
6s372rb31,UNSAT,27,120.49,UNSAT,27,308.03,,UNSAT,27,122.2,UNSAT,27,317.03,UNSAT,27,316.2,UNSAT,27,316.21
6s374b029,unknown,,,unknown,,,,unknown,,,unknown,,,unknown,,,unknown,,
6s374b114,UNSAT,4,118.87,UNSAT,4,128.72,,UNSAT,4,118.77,UNSAT,4,129.28,UNSAT,4,129.33,UNSAT,4,129.53
6s376r,unknown,,,unknown,,,,unknown,,,unknown,,,unknown,,,unknown,,
6s377r,unknown,,,unknown,,,,unknown,,,unknown,,,unknown,,,unknown,,
6s37,unknown,,,unknown,,,,unknown,,,unknown,,,unknown,,,unknown,,
6s380b129,UNSAT,20,20.878,UNSAT,18,20.666,,UNSAT,20,20.824,UNSAT,18,20.831,UNSAT,18,20.908,UNSAT,18,20.858
6s380b511,SAT,17,42.875,SAT,12,57.587,,SAT,17,42.951,SAT,12,57.819,SAT,12,58.002,SAT,12,57.951
6s381rb051,UNSAT,35,328.75,UNSAT,26,516.36,,UNSAT,35,331.4,UNSAT,26,518.11,UNSAT,26,518.1,UNSAT,26,517.59
6s381rb630,UNSAT,6,13.037,UNSAT,6,15.688,,UNSAT,6,13.07,UNSAT,6,15.749,UNSAT,6,15.761,UNSAT,6,15.715
6s382r,unknown,,,unknown,,,,unknown,,,unknown,,,unknown,,,unknown,,
6s384rb024,UNSAT,4,8.5733,UNSAT,7,13.876,,UNSAT,4,8.635,UNSAT,7,13.867,UNSAT,7,13.869,UNSAT,7,13.882
6s384rb194,unknown,,,unknown,,,,unknown,,,unknown,,,unknown,,,unknown,,
6s385rb267,UNSAT,13,659.95,UNSAT,13,506.89,,UNSAT,13,662.41,UNSAT,13,506.19,UNSAT,13,512.17,UNSAT,13,507.6
6s385rb444,unknown,,,UNSAT,12,102.68,,unknown,,,UNSAT,12,103.37,UNSAT,12,103.13,UNSAT,12,103.35
6s386rb07,unknown,,,unknown,,,,unknown,,,unknown,,,unknown,,,unknown,,
6s386rb08,unknown,,,unknown,,,,unknown,,,unknown,,,unknown,,,unknown,,
6s387rb181,unknown,,,unknown,,,,unknown,,,unknown,,,unknown,,,unknown,,
6s387rb291,unknown,,,unknown,,,,unknown,,,unknown,,,unknown,,,unknown,,
6s388b07,SAT,1,0.25304,SAT,1,0.42545,,SAT,1,0.25612,SAT,1,0.42821,SAT,1,0.42715,SAT,1,0.42919
6s388b09,SAT,1,0.25509,SAT,1,0.42462,,SAT,1,0.25684,SAT,1,0.42953,SAT,1,0.4292,SAT,1,0.42979
6s389b02,SAT,1,0.25237,SAT,1,0.42405,,SAT,1,0.25317,SAT,1,0.42569,SAT,1,0.42772,SAT,1,0.42918
6s389b11,SAT,5,1.1804,SAT,4,1.6027,,SAT,5,1.1907,SAT,4,1.6125,SAT,4,1.6176,SAT,4,1.6167
6s38,unknown,,,unknown,,,,unknown,,,unknown,,,unknown,,,unknown,,
6s391rb365,unknown,,,unknown,,,,unknown,,,unknown,,,unknown,,,unknown,,
6s391rb379,UNSAT,4,0.2434,UNSAT,4,0.47355,,UNSAT,4,0.2681,UNSAT,4,0.48665,UNSAT,4,0.45682,UNSAT,4,0.47628
6s392r,unknown,,,unknown,,,,unknown,,,unknown,,,unknown,,,unknown,,
6s393r,unknown,,,unknown,,,,unknown,,,unknown,,,unknown,,,unknown,,
6s394r,unknown,,,unknown,,,,unknown,,,unknown,,,unknown,,,unknown,,
6s398b09,unknown,,,unknown,,,,unknown,,,unknown,,,unknown,,,unknown,,
6s398b16,unknown,,,unknown,,,,unknown,,,unknown,,,unknown,,,unknown,,
6s399b02,unknown,,,unknown,,,,unknown,,,unknown,,,unknown,,,unknown,,
6s399b03,unknown,,,unknown,,,,unknown,,,unknown,,,unknown,,,unknown,,
6s39,unknown,,,unknown,,,,unknown,,,unknown,,,unknown,,,unknown,,
6s3,UNSAT,10,4.0107,UNSAT,8,6.6373,,UNSAT,10,4.131,UNSAT,8,6.8071,UNSAT,8,6.8168,UNSAT,8,6.6559
6s400rb02672,unknown,,,unknown,,,,unknown,,,unknown,,,unknown,,,unknown,,
6s400rb07819,UNSAT,3,0.091052,UNSAT,3,0.58673,,UNSAT,3,0.090201,UNSAT,3,0.60038,UNSAT,3,0.59727,UNSAT,3,0.598
6s401rb051,unknown,,,unknown,,,,unknown,,,unknown,,,unknown,,,unknown,,
