,V3s,,,V3sTem3,,,,v3s,,,V3sTem3,,,v3sTem5,,,v3sTem7,,
bobtuint04neg,UNSAT,15,0.44335,UNSAT,15,0.99872,,UNSAT,15,0.42833,UNSAT,15,1.0585,UNSAT,15,1.0411,UNSAT,15,0.87603
bobtuint05neg,UNSAT,15,0.43766,UNSAT,15,0.99167,,UNSAT,15,0.40444,UNSAT,15,1.2346,UNSAT,15,0.91459,UNSAT,15,0.87199
bobtuint06,SAT,1,0.012578,SAT,1,0.033211,,SAT,1,0.013409,SAT,1,0.033385,SAT,1,0.023035,SAT,1,0.034195
bobtuint06neg,UNSAT,11,0.11033,UNSAT,10,0.28591,,UNSAT,11,0.10588,UNSAT,10,0.35129,UNSAT,10,0.29877,UNSAT,10,0.27336
bobtuint07neg,UNSAT,15,0.38418,UNSAT,15,0.95592,,UNSAT,15,0.38375,UNSAT,15,1.0783,UNSAT,15,1.0879,UNSAT,15,1.2631
bobtuint08neg,UNSAT,9,0.22738,UNSAT,7,0.17781,,UNSAT,9,0.19707,UNSAT,7,0.24412,UNSAT,7,0.24252,UNSAT,7,0.252
bobtuint09neg,UNSAT,14,0.79498,UNSAT,16,1.0316,,UNSAT,14,0.83459,UNSAT,16,1.4775,UNSAT,16,1.137,UNSAT,16,1.1891
bobtuint10neg,UNSAT,7,0.07006,UNSAT,7,0.18699,,UNSAT,7,0.089116,UNSAT,7,0.28874,UNSAT,7,0.19142,UNSAT,7,0.19403
bobtuint11neg,UNSAT,5,0.029521,UNSAT,5,0.098026,,UNSAT,5,0.035937,UNSAT,5,0.10072,UNSAT,5,0.069664,UNSAT,5,0.11042
bobtuint12neg,UNSAT,5,0.026603,UNSAT,5,0.089769,,UNSAT,5,0.023727,UNSAT,5,0.099447,UNSAT,5,0.064447,UNSAT,5,0.1034
bobtuint13neg,UNSAT,10,0.090388,UNSAT,9,0.25787,,UNSAT,10,0.11208,UNSAT,9,0.33509,UNSAT,9,0.22508,UNSAT,9,0.34406
bobtuint14neg,UNSAT,5,0.020033,UNSAT,5,0.095569,,UNSAT,5,0.020331,UNSAT,5,0.081652,UNSAT,5,0.064483,UNSAT,5,0.10082
bobtuint15neg,UNSAT,9,0.099585,UNSAT,9,0.24239,,UNSAT,9,0.11305,UNSAT,9,0.21482,UNSAT,9,0.2152,UNSAT,9,0.2677
bobtuint16neg,UNSAT,5,0.031048,UNSAT,5,0.073329,,UNSAT,5,0.028572,UNSAT,5,0.10211,UNSAT,5,0.063827,UNSAT,5,0.10172
bobtuint17neg,UNSAT,9,0.090475,UNSAT,9,0.21754,,UNSAT,9,0.13016,UNSAT,9,0.34228,UNSAT,9,0.22366,UNSAT,9,0.33803
bobtuint18neg,UNSAT,5,0.019183,UNSAT,5,0.078611,,UNSAT,5,0.031867,UNSAT,5,0.10237,UNSAT,5,0.10084,UNSAT,5,0.10278
bobtuint19neg,UNSAT,10,0.11172,UNSAT,9,0.21701,,UNSAT,10,0.14002,UNSAT,9,0.33846,UNSAT,9,0.24128,UNSAT,9,0.3467
bobtuint20neg,UNSAT,5,0.03061,UNSAT,5,0.080677,,UNSAT,5,0.032128,UNSAT,5,0.099779,UNSAT,5,0.085818,UNSAT,5,0.10009
bobtuint21neg,UNSAT,9,0.091763,UNSAT,9,0.25313,,UNSAT,9,0.13422,UNSAT,9,0.33408,UNSAT,9,0.25412,UNSAT,9,0.29936
bobtuint22neg,UNSAT,5,0.025037,UNSAT,5,0.073962,,UNSAT,5,0.031581,UNSAT,5,0.10002,UNSAT,5,0.097508,UNSAT,5,0.11211
bobtuint23neg,UNSAT,9,0.13225,UNSAT,9,0.2336,,UNSAT,9,0.1138,UNSAT,9,0.30129,UNSAT,9,0.26419,UNSAT,9,0.33141
bobtuint24neg,UNSAT,5,0.031651,UNSAT,5,0.081378,,UNSAT,5,0.028567,UNSAT,5,0.099034,UNSAT,5,0.065518,UNSAT,5,0.10144
bobtuint25neg,UNSAT,8,0.14389,UNSAT,9,0.25364,,UNSAT,8,0.11233,UNSAT,9,0.30507,UNSAT,9,0.33302,UNSAT,9,0.35005
bobtuint26neg,UNSAT,13,0.22498,UNSAT,12,0.47071,,UNSAT,13,0.22995,UNSAT,12,0.56697,UNSAT,12,0.57474,UNSAT,12,0.63558
bobtuint27neg,UNSAT,21,7.156,UNSAT,20,12.061,,UNSAT,21,7.1518,UNSAT,20,12.33,UNSAT,20,12.326,UNSAT,20,13.278
bobtuint28neg,UNSAT,12,0.053949,UNSAT,12,0.23812,,UNSAT,12,0.088691,UNSAT,12,0.2775,UNSAT,12,0.20832,UNSAT,12,0.2209
bobtuint29neg,UNSAT,5,0.062215,UNSAT,5,0.12179,,UNSAT,5,0.044585,UNSAT,5,0.12637,UNSAT,5,0.16077,UNSAT,5,0.16823
bobtuint30neg,UNSAT,12,0.093236,UNSAT,12,0.21022,,UNSAT,12,0.084194,UNSAT,12,0.30646,UNSAT,12,0.29084,UNSAT,12,0.24025
bobtuint31neg,UNSAT,27,1.6454,UNSAT,30,2.8246,,UNSAT,27,1.6399,UNSAT,30,3.2316,UNSAT,30,2.8897,UNSAT,30,4.2608
bobtuintorneg,UNSAT,3,0.002553,UNSAT,3,0.019538,,UNSAT,3,0.00397,UNSAT,3,0.030604,UNSAT,3,0.025175,UNSAT,3,0.024564
bobtutt,SAT,3,0.65523,SAT,3,2.356,,SAT,3,0.69019,SAT,3,2.366,SAT,3,2.6579,SAT,3,3.2491
bobtuttt,unknown,,,unknown,,,,unknown,,,unknown,,,unknown,,,unknown,,
cmudme1,unknown,,,unknown,,,,unknown,,,unknown,,,unknown,,,unknown,,
cmudme2,unknown,,,unknown,,,,unknown,,,unknown,,,unknown,,,unknown,,
csmacdp0,SAT,7,65.556,SAT,3,5.123,,SAT,7,65.222,SAT,3,5.1366,SAT,3,5.1021,SAT,3,4.9668
csmacdp0neg,SAT,7,65.828,SAT,5,25.764,,SAT,7,65.392,SAT,5,26.08,SAT,5,25.773,SAT,5,25.531
csmacdp2,SAT,5,22.19,SAT,5,22.293,,SAT,5,22.19,SAT,5,22.448,SAT,5,22.15,SAT,5,22.043
csmacdp2neg,SAT,5,31.315,SAT,5,31.46,,SAT,5,31.583,SAT,5,31.455,SAT,5,31.09,SAT,5,31.159
eijkbs1512,UNSAT,181,131.08,UNSAT,175,155.48,,UNSAT,181,130.07,UNSAT,175,151.84,UNSAT,175,151.49,UNSAT,175,152.17
eijkbs3271,unknown,,,unknown,,,,unknown,,,unknown,,,unknown,,,unknown,,
eijkbs3330,UNSAT,8,22.358,UNSAT,6,30.984,,UNSAT,8,23.073,UNSAT,6,31.2,UNSAT,6,30.553,UNSAT,6,30.044
eijkbs3384,unknown,,,unknown,,,,unknown,,,unknown,,,unknown,,,unknown,,
eijkbs4863,UNSAT,6,5.0468,UNSAT,4,8.7913,,UNSAT,6,5.0604,UNSAT,4,8.8037,UNSAT,4,8.7297,UNSAT,4,8.4149
eijkbs6669,unknown,,,unknown,,,,unknown,,,unknown,,,unknown,,,unknown,,
eijks1423,unknown,,,unknown,,,,unknown,,,unknown,,,unknown,,,unknown,,
eijks208,UNSAT,28,0.15241,UNSAT,28,0.19844,,UNSAT,28,0.16007,UNSAT,28,0.20391,UNSAT,28,0.17868,UNSAT,28,0.20414
eijks208c,UNSAT,27,0.19004,UNSAT,27,0.19529,,UNSAT,27,0.18127,UNSAT,27,0.1798,UNSAT,27,0.18138,UNSAT,27,0.19662
eijks208o,UNSAT,9,0.025811,UNSAT,9,0.030908,,UNSAT,9,0.032557,UNSAT,9,0.032718,UNSAT,9,0.033207,UNSAT,9,0.02605
eijks382,UNSAT,64,182.48,UNSAT,64,174.26,,UNSAT,64,184.62,UNSAT,64,179.71,UNSAT,64,174.97,UNSAT,64,173.67
eijks420,UNSAT,837,413.01,UNSAT,837,364.68,,UNSAT,837,420.01,UNSAT,837,382.08,UNSAT,837,376.31,UNSAT,837,370.46
eijks444,UNSAT,64,36.339,UNSAT,64,34.813,,UNSAT,64,36.033,UNSAT,64,34.847,UNSAT,64,34.943,UNSAT,64,34.59
eijks526,unknown,,,UNSAT,60,280.81,,unknown,,,UNSAT,60,263.96,UNSAT,60,264.54,UNSAT,60,262.92
eijks5378,UNSAT,36,148.48,UNSAT,28,173.56,,UNSAT,36,145.89,UNSAT,28,171.66,UNSAT,28,168.53,UNSAT,28,170.96
eijks641,UNSAT,6,0.10284,UNSAT,4,0.11738,,UNSAT,6,0.080566,UNSAT,4,0.092739,UNSAT,4,0.073327,UNSAT,4,0.087009
eijks713,UNSAT,6,0.063789,UNSAT,4,0.11564,,UNSAT,6,0.079275,UNSAT,4,0.091327,UNSAT,4,0.073114,UNSAT,4,0.062954
eijks838,unknown,,,unknown,,,,unknown,,,unknown,,,unknown,,,unknown,,
irstdme4,SAT,37,387.78,SAT,25,12.888,,SAT,37,371.23,SAT,25,12.859,SAT,25,12.995,SAT,25,12.62
irstdme5,SAT,25,17.266,SAT,27,22.844,,SAT,25,17.149,SAT,27,23.616,SAT,27,23.035,SAT,27,22.436
irstdme6,SAT,31,46.807,SAT,24,20.614,,SAT,31,46.465,SAT,24,20.848,SAT,24,20.215,SAT,24,20.201
kenflashp05,UNSAT,3,0.046655,UNSAT,3,0.13156,,UNSAT,3,0.046487,UNSAT,3,0.2197,UNSAT,3,0.15752,UNSAT,3,0.12968
kenflashp11,UNSAT,3,0.038933,UNSAT,3,0.16698,,UNSAT,3,0.047122,UNSAT,3,0.2557,UNSAT,3,0.13809,UNSAT,3,0.20173
mentorbm1and,SAT,12,646.29,SAT,8,162.2,,SAT,12,647.33,SAT,8,158.35,SAT,8,161.7,SAT,8,162.08
mentorbm1p00,UNSAT,13,13.637,UNSAT,8,13.026,,UNSAT,13,13.606,UNSAT,8,12.97,UNSAT,8,12.984,UNSAT,8,12.931
mentorbm1p01,UNSAT,41,515.59,UNSAT,22,865.22,,UNSAT,41,519.88,UNSAT,22,858.59,UNSAT,22,860.74,UNSAT,22,869.37
mentorbm1p04,UNSAT,6,2.8698,UNSAT,7,4.909,,UNSAT,6,2.8608,UNSAT,7,4.9361,UNSAT,7,4.9113,UNSAT,7,4.9189
mentorbm1p05,UNSAT,20,218.79,UNSAT,20,696.94,,UNSAT,20,218.15,UNSAT,20,682.67,UNSAT,20,683.9,UNSAT,20,697.55
mentorbm1p07,unknown,,,unknown,,,,unknown,,,unknown,,,unknown,,,unknown,,
mentorbm1p08,UNSAT,20,104.83,UNSAT,14,46.268,,UNSAT,20,104.67,UNSAT,14,46.128,UNSAT,14,46.176,UNSAT,14,46.023
mentorbm1p10,unknown,,,unknown,,,,unknown,,,unknown,,,unknown,,,unknown,,
mentorbm1p11,unknown,,,SAT,12,552.56,,unknown,,,SAT,12,533.04,SAT,12,532.48,SAT,12,535.2
mentorbm1p12,unknown,,,SAT,9,617,,unknown,,,SAT,9,598.31,SAT,9,599.78,SAT,9,604.55
neclabakery001,UNSAT,76,11.61,UNSAT,76,11.382,,UNSAT,76,11.51,UNSAT,76,11.502,UNSAT,76,11.553,UNSAT,76,11.473
neclaftp1001,UNSAT,30,767.03,unknown,,,,UNSAT,30,753.49,unknown,,,unknown,,,unknown,,
neclaftp1002,unknown,,,unknown,,,,unknown,,,unknown,,,unknown,,,unknown,,
neclaftp2001,UNSAT,47,635.18,UNSAT,44,777.09,,UNSAT,47,640.2,UNSAT,44,758.12,UNSAT,44,758.35,UNSAT,44,759.9
neclaftp2002,unknown,,,unknown,,,,unknown,,,unknown,,,unknown,,,unknown,,
neclaftp3001,SAT,5,2.1903,SAT,5,2.8657,,SAT,5,2.2016,SAT,5,2.8729,SAT,5,2.8899,SAT,5,2.897
neclaftp3002,SAT,7,2.4981,SAT,7,3.5719,,SAT,7,2.5005,SAT,7,3.6171,SAT,7,3.6127,SAT,7,3.6132
nusmvbrp,UNSAT,22,3.6104,UNSAT,22,3.586,,UNSAT,22,3.4979,UNSAT,22,3.6232,UNSAT,22,3.6153,UNSAT,22,3.6117
nusmvdme116,unknown,,,unknown,,,,unknown,,,unknown,,,unknown,,,unknown,,
nusmvdme216,unknown,,,unknown,,,,unknown,,,unknown,,,unknown,,,unknown,,
nusmvguidancep2,UNSAT,21,5.934,UNSAT,18,10.257,,UNSAT,21,5.8002,UNSAT,18,10.281,UNSAT,18,10.254,UNSAT,18,10.108
nusmvguidancep4,UNSAT,4,0.031038,UNSAT,4,0.082278,,UNSAT,4,0.02045,UNSAT,4,0.082887,UNSAT,4,0.071109,UNSAT,4,0.082063
nusmvguidancep5,UNSAT,17,3.9303,UNSAT,18,4.5988,,UNSAT,17,3.7325,UNSAT,18,4.6718,UNSAT,18,4.6181,UNSAT,18,4.6365
nusmvguidancep6,UNSAT,15,3.6524,UNSAT,10,3.1438,,UNSAT,15,3.5229,UNSAT,10,3.0926,UNSAT,10,3.2055,UNSAT,10,3.0455
nusmvguidancep7,UNSAT,25,13.947,UNSAT,19,17.606,,UNSAT,25,13.916,UNSAT,19,17.885,UNSAT,19,17.854,UNSAT,19,17.464
nusmvguidancep8,UNSAT,20,4.3204,UNSAT,20,7.5281,,UNSAT,20,4.1907,UNSAT,20,7.6537,UNSAT,20,7.4295,UNSAT,20,7.4665
nusmvguidancep9,UNSAT,21,11.772,UNSAT,14,2.6804,,UNSAT,21,11.302,UNSAT,14,2.7245,UNSAT,14,2.6009,UNSAT,14,2.6783
nusmvqueue,unknown,,,unknown,,,,unknown,,,unknown,,,unknown,,,unknown,,
nusmvreactorp2,unknown,,,unknown,,,,unknown,,,unknown,,,unknown,,,unknown,,
nusmvreactorp6,UNSAT,134,880.95,unknown,,,,UNSAT,134,882.39,unknown,,,unknown,,,unknown,,
nusmvtcasp5,SAT,25,28.688,SAT,23,40.998,,SAT,25,28.845,SAT,23,41.531,SAT,23,41.094,SAT,23,40.746
nusmvtcastp5,SAT,25,21.379,SAT,23,33.183,,SAT,25,21.723,SAT,23,33.201,SAT,23,33.07,SAT,23,32.764
oski1rub00i,unknown,,,unknown,,,,unknown,,,unknown,,,unknown,,,unknown,,
oski1rub01i,unknown,,,unknown,,,,unknown,,,unknown,,,unknown,,,unknown,,
oski1rub02i,unknown,,,unknown,,,,unknown,,,unknown,,,unknown,,,unknown,,
oski1rub03i,unknown,,,unknown,,,,unknown,,,unknown,,,unknown,,,unknown,,
oski1rub04i,unknown,,,unknown,,,,unknown,,,unknown,,,unknown,,,unknown,,
oski1rub05i,UNSAT,3,0.13006,UNSAT,3,1.3177,,UNSAT,3,0.12904,UNSAT,3,1.3126,UNSAT,3,1.3162,UNSAT,3,1.317
oski1rub07i,UNSAT,6,648.44,UNSAT,8,568.16,,UNSAT,6,638.31,UNSAT,8,562.62,UNSAT,8,562.16,UNSAT,8,564.33
oski1rub08i,unknown,,,unknown,,,,unknown,,,unknown,,,unknown,,,unknown,,
oski1rub09i,unknown,,,unknown,,,,unknown,,,unknown,,,unknown,,,unknown,,
oski1rub10i,unknown,,,unknown,,,,unknown,,,unknown,,,unknown,,,unknown,,
oski2ub0i,unknown,,,unknown,,,,unknown,,,unknown,,,unknown,,,unknown,,
oski2ub1i,unknown,,,unknown,,,,unknown,,,unknown,,,unknown,,,unknown,,
oski2ub2i,unknown,,,unknown,,,,unknown,,,unknown,,,unknown,,,unknown,,
oski2ub3i,unknown,,,unknown,,,,unknown,,,unknown,,,unknown,,,unknown,,
oski2ub4i,unknown,,,unknown,,,,unknown,,,unknown,,,unknown,,,unknown,,
oski2ub5i,unknown,,,unknown,,,,unknown,,,unknown,,,unknown,,,unknown,,
oski3ub0i,unknown,,,unknown,,,,unknown,,,unknown,,,unknown,,,unknown,,
oski3ub1i,unknown,,,unknown,,,,unknown,,,unknown,,,unknown,,,unknown,,
oski3ub2i,UNSAT,8,13.36,UNSAT,9,72.004,,UNSAT,8,13.165,UNSAT,9,71.96,UNSAT,9,71.271,UNSAT,9,71.216
oski3ub3i,unknown,,,unknown,,,,unknown,,,unknown,,,unknown,,,unknown,,
oski3ub4i,unknown,,,unknown,,,,unknown,,,unknown,,,unknown,,,unknown,,
oski3ub5i,unknown,,,unknown,,,,unknown,,,unknown,,,unknown,,,unknown,,
oski4ui,unknown,,,unknown,,,,unknown,,,unknown,,,unknown,,,unknown,,
oski5ui,unknown,,,unknown,,,,unknown,,,unknown,,,unknown,,,unknown,,
pdtfifo1to0,unknown,,,unknown,,,,unknown,,,unknown,,,unknown,,,unknown,,
pdtpmsam2901,UNSAT,4,1.6498,UNSAT,4,42.04,,UNSAT,4,1.5032,UNSAT,4,41.634,UNSAT,4,41.403,UNSAT,4,42.167
pdtpmsbufferalloc,unknown,,,unknown,,,,unknown,,,unknown,,,unknown,,,unknown,,
pdtpmscoherence,UNSAT,18,47.095,UNSAT,13,51.432,,UNSAT,18,45.631,UNSAT,13,51.748,UNSAT,13,51.164,UNSAT,13,50.322
pdtpmseisenberg,unknown,,,unknown,,,,unknown,,,unknown,,,unknown,,,unknown,,
pdtpmsfpmult,UNSAT,6,3.4772,UNSAT,6,3.4348,,UNSAT,6,3.6822,UNSAT,6,3.6441,UNSAT,6,3.5084,UNSAT,6,3.5841
pdtpmsgigamax,UNSAT,5,1.3052,UNSAT,5,1.2951,,UNSAT,5,1.4675,UNSAT,5,1.4398,UNSAT,5,1.4581,UNSAT,5,1.2965
pdtpmsgoodbakery,unknown,,,unknown,,,,unknown,,,unknown,,,unknown,,,unknown,,
pdtpmsheap,UNSAT,25,6.3205,UNSAT,23,9.6238,,UNSAT,25,6.5037,UNSAT,23,9.7913,UNSAT,23,9.8489,UNSAT,23,9.7504
pdtpmsmiim,UNSAT,52,2.97,UNSAT,37,4.0497,,UNSAT,52,3.1189,UNSAT,37,3.9998,UNSAT,37,4.139,UNSAT,37,4.0501
pdtpmsns2,UNSAT,17,48.114,UNSAT,17,46.343,,UNSAT,17,47.628,UNSAT,17,47.467,UNSAT,17,47.588,UNSAT,17,47.198
pdtpmsns3,unknown,,,unknown,,,,unknown,,,unknown,,,unknown,,,unknown,,
pdtpmspalu,UNSAT,7,18.132,UNSAT,7,17.319,,UNSAT,7,17.806,UNSAT,7,17.993,UNSAT,7,17.861,UNSAT,7,17.469
pdtpmsretherrtf,unknown,,,unknown,,,,unknown,,,unknown,,,unknown,,,unknown,,
pdtpmsrethersqo,unknown,,,unknown,,,,unknown,,,unknown,,,unknown,,,unknown,,
pdtpmssfeistel,UNSAT,22,376,UNSAT,17,443.63,,UNSAT,22,384.55,UNSAT,17,459.51,UNSAT,17,459.22,UNSAT,17,458.69
pdtpmstimeout,unknown,,,unknown,,,,unknown,,,unknown,,,unknown,,,unknown,,
pdtpmstwo,UNSAT,4,0.27952,UNSAT,4,0.2053,,UNSAT,4,0.28107,UNSAT,4,0.28569,UNSAT,4,0.28386,UNSAT,4,0.28544
pdtpmsudc12,unknown,,,unknown,,,,unknown,,,unknown,,,unknown,,,unknown,,
pdtpmsudc16,unknown,,,unknown,,,,unknown,,,unknown,,,unknown,,,unknown,,
pdtpmsudc8,unknown,,,unknown,,,,unknown,,,unknown,,,unknown,,,unknown,,
pdtpmsviper,UNSAT,10,400.08,UNSAT,7,793.91,,UNSAT,10,394.1,UNSAT,7,744.39,UNSAT,7,742.17,UNSAT,7,738.07
pdtpmsvsa16a,UNSAT,11,25.601,UNSAT,9,47.206,,UNSAT,11,25.49,UNSAT,9,46.276,UNSAT,9,45.75,UNSAT,9,44.972
pdtpmsvsar,UNSAT,11,34.945,UNSAT,11,35.769,,UNSAT,11,35.311,UNSAT,11,34.655,UNSAT,11,34.275,UNSAT,11,34.08
pdtswvibs8x8p0,SAT,11,0.35636,SAT,6,0.54022,,SAT,11,0.38467,SAT,6,0.54174,SAT,6,0.52748,SAT,6,0.53106
pdtswvibs8x8p1,UNSAT,39,38.487,UNSAT,56,50.539,,UNSAT,39,38.674,UNSAT,56,49.034,UNSAT,56,48.605,UNSAT,56,48.641
pdtswvqis10x6p0,SAT,35,5.8245,SAT,33,5.9337,,SAT,35,5.6587,SAT,33,5.7491,SAT,33,5.6205,SAT,33,5.6411
pdtswvqis10x6p1,UNSAT,117,204.01,UNSAT,117,263.01,,UNSAT,117,201.67,UNSAT,117,254.81,UNSAT,117,255.6,UNSAT,117,255.53
pdtswvqis10x6p2,unknown,,,unknown,,,,unknown,,,unknown,,,unknown,,,unknown,,
pdtswvqis8x8p0,SAT,27,9.2087,SAT,27,9.2283,,SAT,27,9.1351,SAT,27,9.0971,SAT,27,9.0562,SAT,27,8.9372
pdtswvqis8x8p1,UNSAT,97,144.39,UNSAT,97,143.85,,UNSAT,97,143.86,UNSAT,97,141.06,UNSAT,97,140.38,UNSAT,97,140.08
pdtswvqis8x8p2,unknown,,,unknown,,,,unknown,,,unknown,,,unknown,,,unknown,,
pdtswvrod6x8p1,unknown,,,unknown,,,,unknown,,,unknown,,,unknown,,,unknown,,
pdtswvrod6x8p2,unknown,,,unknown,,,,unknown,,,unknown,,,unknown,,,unknown,,
pdtswvroz10x6p1,UNSAT,53,7.9254,UNSAT,53,12.535,,UNSAT,53,7.7736,UNSAT,53,12.528,UNSAT,53,12.568,UNSAT,53,12.529
pdtswvroz10x6p2,UNSAT,103,48.493,UNSAT,90,51.527,,UNSAT,103,48.502,UNSAT,90,51.535,UNSAT,90,51.321,UNSAT,90,51.144
pdtswvroz8x8p1,UNSAT,70,7.7789,UNSAT,49,8.7798,,UNSAT,70,7.6557,UNSAT,49,8.7328,UNSAT,49,8.7954,UNSAT,49,8.7474
pdtswvroz8x8p2,UNSAT,98,24.733,UNSAT,100,40.531,,UNSAT,98,24.799,UNSAT,100,40.608,UNSAT,100,40.265,UNSAT,100,40.432
pdtswvsam4x8p4,unknown,,,unknown,,,,unknown,,,unknown,,,unknown,,,unknown,,
pdtswvsam6x8p0,SAT,15,4.403,SAT,18,7.036,,SAT,15,4.5282,SAT,18,7.0841,SAT,18,7.0343,SAT,18,6.9626
pdtswvsam6x8p1,UNSAT,13,0.88838,UNSAT,10,1.3881,,UNSAT,13,0.89162,UNSAT,10,1.3942,UNSAT,10,1.3875,UNSAT,10,1.2713
pdtswvsam6x8p2,UNSAT,18,0.70987,UNSAT,17,1.5354,,UNSAT,18,0.73232,UNSAT,17,1.4339,UNSAT,17,1.5213,UNSAT,17,1.516
pdtswvsam6x8p3,UNSAT,43,216.93,UNSAT,45,267.33,,UNSAT,43,215.71,UNSAT,45,265.99,UNSAT,45,265.58,UNSAT,45,265.71
pdtswvsam6x8p4,unknown,,,unknown,,,,unknown,,,unknown,,,unknown,,,unknown,,
pdtswvtma6x4p2,UNSAT,52,143.11,UNSAT,52,140.1,,UNSAT,52,141.72,UNSAT,52,141.61,UNSAT,52,141.68,UNSAT,52,141.82
pdtswvtma6x4p3,UNSAT,56,729.55,UNSAT,56,717.62,,UNSAT,56,738.87,UNSAT,56,744.49,UNSAT,56,746.13,UNSAT,56,746.05
pdtswvtma6x6p1,UNSAT,54,121.17,UNSAT,56,158.46,,UNSAT,54,118.88,UNSAT,56,160.34,UNSAT,56,159.26,UNSAT,56,159.24
pdtswvtma6x6p2,UNSAT,60,804.54,UNSAT,57,881.35,,UNSAT,60,793.55,unknown,,,unknown,,,unknown,,
pdtswvtma6x6p3,unknown,,,unknown,,,,unknown,,,unknown,,,unknown,,,unknown,,
pdtswvtms10x8p1,UNSAT,20,32.593,UNSAT,14,34.245,,UNSAT,20,33.034,UNSAT,14,35.313,UNSAT,14,34.918,UNSAT,14,34.553
pdtswvtms12x8p1,UNSAT,21,33.205,UNSAT,14,45.467,,UNSAT,21,33.373,UNSAT,14,46.821,UNSAT,14,46.543,UNSAT,14,45.667
pdtswvtms14x8p1,UNSAT,26,34.848,UNSAT,13,76.929,,UNSAT,26,35.124,UNSAT,13,77.594,UNSAT,13,76.542,UNSAT,13,77.153
pdtvisbakery0,UNSAT,32,9.1831,UNSAT,36,26.427,,UNSAT,32,9.3144,UNSAT,36,26.591,UNSAT,36,26.769,UNSAT,36,26.827
pdtvisbakery1,UNSAT,30,11.12,UNSAT,31,13.331,,UNSAT,30,11.155,UNSAT,31,13.286,UNSAT,31,13.46,UNSAT,31,13.288
pdtvisbakery2,UNSAT,33,20.294,UNSAT,37,81.038,,UNSAT,33,20.676,UNSAT,37,81.795,UNSAT,37,81.482,UNSAT,37,81.423
pdtvisbufferalloc,unknown,,,unknown,,,,unknown,,,unknown,,,unknown,,,unknown,,
pdtviscoherence4,UNSAT,9,0.65936,UNSAT,8,0.72399,,UNSAT,9,0.59752,UNSAT,8,0.76129,UNSAT,8,0.6017,UNSAT,8,0.72492
pdtviscoherence5,UNSAT,11,0.50968,UNSAT,9,1.3345,,UNSAT,11,0.45913,UNSAT,9,1.3453,UNSAT,9,1.1975,UNSAT,9,1.2165
pdtviseisenberg0,UNSAT,14,1.8103,UNSAT,21,8.8645,,UNSAT,14,1.7914,UNSAT,21,8.7558,UNSAT,21,8.8945,UNSAT,21,8.872
pdtviseisenberg1,UNSAT,14,1.0225,UNSAT,15,1.6827,,UNSAT,14,1.1806,UNSAT,15,1.5769,UNSAT,15,1.6776,UNSAT,15,1.6305
pdtviseisenberg2,UNSAT,20,3.8463,UNSAT,14,2.4064,,UNSAT,20,4.0293,UNSAT,14,2.3885,UNSAT,14,2.5187,UNSAT,14,2.4948
pdtvisgigamax0,UNSAT,5,0.04928,UNSAT,5,0.083881,,UNSAT,5,0.059532,UNSAT,5,0.12327,UNSAT,5,0.12609,UNSAT,5,0.094604
pdtvisgigamax1,UNSAT,5,0.06033,UNSAT,5,0.082505,,UNSAT,5,0.040949,UNSAT,5,0.13719,UNSAT,5,0.10842,UNSAT,5,0.12057
pdtvisgigamax2,UNSAT,5,0.030324,UNSAT,6,0.11202,,UNSAT,5,0.049311,UNSAT,6,0.17017,UNSAT,6,0.17177,UNSAT,6,0.17364
pdtvisgoodbakery0,UNSAT,30,7.4668,UNSAT,25,13.611,,UNSAT,30,7.6356,UNSAT,25,14.251,UNSAT,25,14.191,UNSAT,25,14.175
pdtvisgoodbakery1,UNSAT,32,11.139,UNSAT,32,12.595,,UNSAT,32,11.345,UNSAT,32,13.257,UNSAT,32,13.24,UNSAT,32,13.118
pdtvisgoodbakery2,UNSAT,40,42.191,UNSAT,27,52.176,,UNSAT,40,43.17,UNSAT,27,53.768,UNSAT,27,53.687,UNSAT,27,53.403
pdtvisns2p0,UNSAT,13,2.4882,UNSAT,13,2.5464,,UNSAT,13,2.5238,UNSAT,13,2.4484,UNSAT,13,2.6429,UNSAT,13,2.6014
pdtvisns2p1,UNSAT,13,3.732,UNSAT,13,3.883,,UNSAT,13,3.9095,UNSAT,13,4.0353,UNSAT,13,3.8147,UNSAT,13,3.9515
pdtvisns2p2,UNSAT,12,1.3312,UNSAT,12,1.2082,,UNSAT,12,1.2967,UNSAT,12,1.365,UNSAT,12,1.3581,UNSAT,12,1.2234
pdtvisns3p00,UNSAT,14,6.5331,UNSAT,11,30.274,,UNSAT,14,6.4938,UNSAT,11,30.932,UNSAT,11,30.803,UNSAT,11,31.064
pdtvisns3p01,UNSAT,19,17.727,UNSAT,13,16.831,,UNSAT,19,17.933,UNSAT,13,17.274,UNSAT,13,17.559,UNSAT,13,17.354
pdtvisns3p02,UNSAT,13,6.1417,UNSAT,12,11.848,,UNSAT,13,6.2215,UNSAT,12,12.224,UNSAT,12,12.03,UNSAT,12,12.204
pdtvisns3p03,UNSAT,13,8.7737,UNSAT,10,10.127,,UNSAT,13,9.0095,UNSAT,10,10.446,UNSAT,10,10.491,UNSAT,10,10.588
pdtvisns3p04,UNSAT,16,15.322,UNSAT,11,52.267,,UNSAT,16,15.554,UNSAT,11,53.47,UNSAT,11,53.53,UNSAT,11,53.258
